x_mm,y_mm,z_mm,value_normalized,raw_max_j_m3
5.6567,6.7037,15.3638,8.485208e-05,2.659363e-04
-5.6567,-6.7037,15.3638,8.201805e-05,2.659363e-04
-2.9772,-8.2507,15.3638,1.036722e-04,2.659363e-04
8.6339,1.5470,15.3638,1.160475e-04,2.659363e-04
8.6339,-1.5470,15.3638,1.150797e-04,2.659363e-04
-7.2623,8.8199,24.4833,1.003247e-03,2.659363e-04
-5.5256,5.8119,23.2358,7.871213e-04,2.659363e-04
-11.2695,-1.8794,24.4833,1.155693e-03,2.659363e-04
-7.7960,-1.8794,23.2358,8.288807e-04,2.659363e-04
4.0071,10.6993,24.4833,1.065139e-03,2.659363e-04
2.2704,7.6913,23.2358,9.341336e-04,2.659363e-04
-4.0071,-10.6993,24.4833,8.963145e-04,2.659363e-04
-2.2704,-7.6913,23.2358,8.232494e-04,2.659363e-04
9.5642,1.6991,20.4588,4.708176e-04,2.659363e-04
9.5642,-1.6991,20.4588,4.694041e-04,2.659363e-04
6.4754,1.1603,94.5346,4.289050e-05,2.659363e-04
6.4754,-1.1603,94.5346,4.303407e-05,2.659363e-04
2.2329,6.1880,94.5346,3.386121e-05,2.659363e-04
4.2425,5.0278,94.5346,3.125763e-05,2.659363e-04
